gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue
3090897574;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/73751409;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Rajasthan;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;24.430843;72.655068;30069.0;;;;;;2016-09-24T08:20:00;24;9;2016;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;73751409;;Jonathan Hakim;2021-04-12T16:08:17;CC_BY_NC_4_0;Jonathan Hakim;Jonathan Hakim;;;2021-09-19T04:28:00.347Z;StillImage;COORDINATE_ROUNDED
3090895591;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/73751407;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Rajasthan;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;24.454958;72.625342;30069.0;;;;;;2016-09-24T08:01:00;24;9;2016;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;73751407;;Jonathan Hakim;2021-04-12T16:08:16;CC_BY_NC_4_0;Jonathan Hakim;Jonathan Hakim;;;2021-09-19T04:27:44.152Z;StillImage;COORDINATE_ROUNDED
3079750591;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/72862895;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Madhya Pradesh;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;22.345552;80.668456;36092.0;;;;;;2021-02-13T16:18:00;13;2;2021;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;72862895;;Michal Sloviak;2021-06-21T16:40:26;CC_BY_NC_4_0;Rohan Chakravarty;Rohan Chakravarty;;;2021-09-19T04:28:22.784Z;StillImage;COORDINATE_ROUNDED
3061657449;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/65515918;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Karnataka;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;15.288286;74.368277;30899.0;;;;;;2015-03-13T10:05:00;13;3;2015;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;65515918;;Carita Bergman;2020-11-24T06:09:15;CC_BY_4_0;Carita Bergman;Carita Bergman;;;2021-09-19T04:27:45.080Z;StillImage;COORDINATE_ROUNDED
3053260171;609217ee-054d-441d-a850-356cbc2fb385;urn:uuid:d348a934-697f-4831-9db3-6e5d2e9e90bf;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;;SPECIES;Melursus ursinus (Shaw, 1791);Melursus ursinus Shaw, 1791;Shaw, 1791;IN;;;PRESENT;;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;;;;;;;;;1900-01-01T00:00:00;;1;1900;2433395;2433395;PRESERVED_SPECIMEN;NHMO;DMA;NHMO-DMA-25322/1-O;;Anonymous;1900-01-01T00:00:00;CC_BY_4_0;Natural History Museum, University of Oslo, Norway;Anonymous;;;2021-09-16T15:57:25.299Z;;INSTITUTION_MATCH_FUZZY
3053257608;609217ee-054d-441d-a850-356cbc2fb385;urn:uuid:90db11a7-8ddd-4706-ba4b-9c8043de3811;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;;SPECIES;Melursus ursinus (Shaw, 1791);Melursus ursinus Shaw, 1791;Shaw, 1791;;;;PRESENT;;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;;;;;;;;;1839-01-01T00:00:00;;;1839;2433395;2433395;PRESERVED_SPECIMEN;NHMO;DMA;NHMO-DMA-30647/1-O;;Anonymous;1839-01-01T00:00:00;CC_BY_4_0;Natural History Museum, University of Oslo, Norway;Anonymous;;;2021-09-16T15:57:23.393Z;;INSTITUTION_MATCH_FUZZY
3044918797;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/69923830;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Karnataka;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;15.293942;75.701396;30899.0;;;;;;2017-05-10T16:49:06;10;5;2017;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;69923830;;Michal Sloviak;2021-02-21T15:25:03;CC_BY_NC_4_0;S.MORE;S.MORE;;;2021-09-19T04:27:37.346Z;StillImage;COORDINATE_ROUNDED
3044601146;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/69554154;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;inornatus;SUBSPECIES;Melursus ursinus inornatus Pucheran, 1855;Melursus ursinus inornatus;;LK;;Anuradhapura;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;8.22914;80.01109;31287.0;;;;;;2021-01-16T15:30:00;16;1;2021;6163867;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;69554154;;;;CC_BY_NC_4_0;Sampath Bandara;Sampath Bandara;;;2021-09-19T04:27:42.832Z;StillImage;COORDINATE_ROUNDED
3044556239;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/69637090;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;inornatus;SUBSPECIES;Melursus ursinus inornatus Pucheran, 1855;Melursus ursinus inornatus;;LK;;Hambantota;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;6.238976;81.463509;31356.0;;;;;;2014-06-06T06:18:00;6;6;2014;6163867;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;69637090;;eamonccorbett;2021-02-15T21:36:16;CC_BY_4_0;eamonccorbett;eamonccorbett;;;2021-09-19T05:10:02.549Z;StillImage;COORDINATE_ROUNDED
3039237972;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/69311863;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;inornatus;SUBSPECIES;Melursus ursinus inornatus Pucheran, 1855;Melursus ursinus inornatus;;LK;;Moneragala;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;6.48546;81.294;31350.0;;;;;;2017-08-03T22:51:00;3;8;2017;6163867;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;69311863;;Michal Sloviak;2021-02-09T18:05:51;CC_BY_NC_4_0;Hiran Amarasekera;Hiran Amarasekera;;;2021-09-19T04:27:52.392Z;StillImage;COORDINATE_ROUNDED
